id,date,temp
955,2013-08-08,23.8
955,2013-08-09,24
955,2013-08-10,24.1
955,2013-08-11,24.2
955,2013-08-12,24.3
955,2013-08-13,24.6
955,2013-08-14,24.9
955,2013-08-15,25.1
955,2013-08-16,25.3
955,2013-08-17,25.4
955,2013-08-18,25.5
955,2013-08-19,25.6
955,2013-08-20,25.8
955,2013-08-21,25.8
955,2013-08-22,26.1
955,2013-08-23,26
955,2013-08-24,26
955,2013-08-25,26.1
955,2013-08-26,26.2
955,2013-08-27,26.2
955,2013-08-28,26.3
955,2013-08-29,26.4
955,2013-08-30,29.7
955,2013-08-31,26.3
955,2013-09-01,26.3
955,2013-09-02,26.1
955,2013-09-03,25.8
955,2013-09-04,25.5
955,2013-09-05,25.3
955,2013-09-06,25
955,2013-09-07,24.9
955,2013-09-08,24.8
955,2013-09-09,24.8
955,2013-09-10,24.6
955,2013-09-11,24.4
955,2013-09-12,24.4
955,2013-09-13,24.4
955,2013-09-14,24.4
955,2013-09-15,24.4
955,2013-09-16,24.2
955,2013-09-17,24.1
955,2013-09-18,24
955,2013-09-19,23.9
955,2013-09-20,23.8
955,2013-09-21,23.8
955,2013-09-22,23.7
955,2013-09-23,23.6
955,2013-09-24,23.5
955,2013-09-25,23.3
955,2013-09-26,22.8
955,2013-09-27,22.7
955,2013-09-28,22.7
955,2013-09-29,22.5
955,2013-09-30,22.4
955,2013-10-01,22.4
955,2013-10-02,22.3
955,2013-10-03,21.9
955,2013-10-04,21.6
955,2013-10-05,21.5
955,2013-10-06,21.5
955,2013-10-07,21.4
955,2013-10-08,21.3
955,2013-10-09,21.2
955,2013-10-10,21.2
955,2013-10-11,21.1
955,2013-10-12,20.8
955,2013-10-13,20.7
955,2013-10-14,20.7
955,2013-10-15,20.5
955,2013-10-16,20.1
955,2013-10-17,19.8
955,2013-10-18,19.7
955,2013-10-19,19.5
955,2013-10-20,19.5
955,2013-10-21,19.5
955,2013-10-22,19.3
955,2013-10-23,19.2
955,2013-10-24,19
955,2013-10-25,18.5
955,2013-10-26,18.1
955,2013-10-27,17.9
955,2013-10-28,18
955,2013-10-29,17.8
955,2013-10-30,17.5
955,2013-10-31,17.5
955,2013-11-01,17.5
955,2013-11-02,17.4
955,2013-11-03,17.4
955,2013-11-04,17.2
955,2013-11-05,17.2
955,2013-11-06,17.1
955,2013-11-07,16.9
955,2013-11-08,16.6
955,2013-11-09,16.5
955,2013-11-10,16.1
955,2013-11-11,15.1
955,2013-11-12,14.9
955,2013-11-13,14.5
955,2013-11-14,14.7
955,2013-11-15,14.6
955,2013-11-16,14.7
955,2013-11-17,14.3
955,2013-11-18,13.5
